Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2002-01-01,ACC,EQ,151.4,153.9,154.95,146.55,147.25,147.6,150.77,1006838,15180014710000.0,,229655.0,0.2281
2002-01-02,ACC,EQ,147.6,148.0,157.9,148.0,157.75,155.95,153.43,1819982,27923598420000.0,,478619.0,0.263
2002-01-03,ACC,EQ,155.95,159.9,159.9,155.2,157.0,156.7,157.6,1373280,21642832060000.0,,314906.0,0.2293
2002-01-04,ACC,EQ,156.7,162.25,171.4,158.05,169.0,169.25,164.73,2826932,46567732520000.0,,1156855.0,0.4092
2002-01-07,ACC,EQ,169.25,171.0,171.9,163.3,164.9,164.4,166.92,1011284,16880842780000.002,,313912.0,0.3104
2002-01-08,ACC,EQ,164.4,165.85,169.4,164.1,167.95,167.15,166.62,1119797,18658598435000.0,,192648.0,0.172
2002-01-09,ACC,EQ,167.15,170.0,172.0,164.5,166.45,165.75,169.26,2366873,40061101380000.0,,456045.0,0.1927
2002-01-10,ACC,EQ,165.75,167.9,169.8,163.35,167.75,167.6,167.8,818483,13734539165000.0,,191825.0,0.23440000000000003
2002-01-11,ACC,EQ,167.6,169.0,173.7,158.55,167.0,164.5,168.33,2067507,34801865214999.996,,403715.0,0.19530000000000003
2002-01-14,ACC,EQ,164.5,169.0,171.5,168.1,170.3,169.8,169.65,1264738,21456565475000.0,,253541.0,0.2005
2002-01-15,ACC,EQ,169.8,171.0,173.4,166.5,171.95,171.7,170.75,2737317,46739468405000.0,,583187.0,0.21309999999999998
2002-01-16,ACC,EQ,171.7,172.8,173.8,167.5,168.0,168.45,170.08,1353872,23026927970000.0,,289136.0,0.2136
2002-01-17,ACC,EQ,168.45,167.0,172.45,166.0,170.8,170.6,170.15,1291215,21970567555000.0,,442044.0,0.3423
2002-01-18,ACC,EQ,170.6,172.0,177.4,170.0,172.0,171.65,174.26,3519014,61322336395000.01,,845095.0,0.2402
2002-01-21,ACC,EQ,171.65,173.0,174.9,170.3,174.9,173.95,173.26,1674582,29013945920000.0,,453198.0,0.2706
2002-01-22,ACC,EQ,173.95,176.0,177.95,172.0,177.25,176.8,176.13,2328267,41007748310000.0,,636312.0,0.2733
2002-01-23,ACC,EQ,176.8,177.0,177.95,170.0,170.1,170.15,172.44,2449166,42233849635000.0,,681057.0,0.2781
2002-01-24,ACC,EQ,170.15,171.75,172.0,164.55,165.35,165.45,167.78,2136176,35841203640000.0,,661541.0,0.3097
2002-01-25,ACC,EQ,165.45,166.4,166.4,160.25,163.7,163.4,163.27,3057214,49916196820000.0,,879951.0,0.2878
2002-01-28,ACC,EQ,163.4,164.1,164.1,158.7,161.2,160.95,160.99,1745179,28095496155000.0,,655850.0,0.37579999999999997
2002-01-29,ACC,EQ,160.95,161.5,163.0,157.25,158.05,158.0,160.0,1120481,17927748405000.0,,348344.0,0.3109
2002-01-30,ACC,EQ,158.0,157.8,158.25,155.1,156.6,157.4,156.88,1177480,18472491895000.0,,237265.0,0.20149999999999998
2002-01-31,ACC,EQ,157.4,161.0,162.35,158.0,161.0,159.95,160.43,1810254,29041711610000.004,,648798.0,0.35840000000000005
2002-02-01,ACC,EQ,159.95,162.45,165.35,161.1,165.25,165.0,163.86,1269863,20807470260000.0,,427894.0,0.337
2002-02-04,ACC,EQ,165.0,165.0,165.0,157.3,157.3,158.2,159.98,1085155,17360207319999.998,,322531.0,0.2972
2002-02-05,ACC,EQ,158.2,158.0,160.5,155.5,159.7,159.35,158.48,725680,11500348035000.0,,157409.0,0.2169
2002-02-06,ACC,EQ,159.35,161.9,168.5,160.2,167.95,167.3,164.28,1398906,22980661030000.0,,465203.0,0.3325
2002-02-07,ACC,EQ,167.3,168.25,171.7,164.5,165.0,167.65,168.93,1861360,31444745214999.996,,503828.0,0.2707
2002-02-08,ACC,EQ,167.65,167.0,171.0,166.5,169.5,167.6,168.51,1111517,18730587905000.0,,158610.0,0.1427
2002-02-11,ACC,EQ,167.6,170.7,172.4,167.25,167.6,168.0,169.79,1071639,18195241735000.0,,376923.0,0.3517
2002-02-12,ACC,EQ,168.0,171.3,171.9,167.6,170.0,169.7,169.32,778692,13184586495000.0,,328979.0,0.4225
